Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
211,Jordan Thomas,HOU,22,TE,16,10,27,20,215,4,12,120,6,95,4.8,5.6,2,10,1,3.7,0,136.6
212,Spencer Ware,KAN,27,RB,13,2,23,20,224,0,9,-21,-1.1,245,12.3,0.2,4,5,2,8.7,0,107.2
213,Martavis Bryant,OAK,27,WR,8,2,27,19,266,0,10,135,7.1,131,6.9,11.9,4,4.8,2,7.4,2,70.9
214,Anthony Firkser,TEN,23,FB,12,0,20,19,225,1,11,128,6.7,97,5.1,6.7,0,,0,0,0,130.2
215,Virgil Green,LAC,30,TE,16,16,27,19,210,1,10,108,5.7,102,5.4,5.4,2,9.5,3,11.1,0,105.5
216,T.J. Jones,DET,26,WR,15,3,26,19,190,2,10,154,8.1,36,1.9,10.3,1,19,0,0,2,87
217,Lance Kendricks,GNB,30,TE,16,3,25,19,170,1,9,58,3.1,112,5.9,5.6,0,,3,12,0,107.1
218,Elijah McGuire,NYJ,24,RB,8,3,31,19,193,1,10,34,1.8,159,8.4,4.9,5,3.8,4,12.9,0,89.9
219,Chris Moore,BAL,25,WR,16,0,25,19,196,1,8,131,6.9,65,3.4,11.3,0,,0,0,0,111.4
220,Trent Sherfield,ARI,22,WR,13,2,28,19,210,1,11,172,9.1,38,2,11.3,0,,1,3.6,2,72
221,Doug Martin,OAK,29,RB,16,9,24,18,116,0,6,22,1.2,94,5.2,0.9,1,18,2,8.3,0,84.7
