Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
444,Dane Cruikshank,TEN,23,DB,12,0,1,1,66,1,1,17,17,49,49,17,0,,0,0,0,158.3
445,Sean Culkin,LAC,25,TE,13,10,1,1,24,0,1,24,24,0,0,24,0,,0,0,0,118.7
446,Benny Cunningham,CHI,28,RB,15,0,2,1,9,0,1,-4,-4,13,13,-7,0,,0,0,1,22.9
447,Chase Daniel,CHI,32,QB,5,2,1,1,8,0,1,-6,-6,14,14,-6,0,,0,0,0,100
448,Dion Dawkins,BUF,24,LT,16,16,1,1,7,1,1,7,7,0,0,7,0,,0,0,0,135.4
449,Taylor Decker,DET,24,LT,16,16,1,1,11,1,1,1,1,10,10,1,0,,0,0,0,152.1
450,Gehrig Dieter,KAN,25,WR,4,0,3,1,22,0,1,9,9,13,13,18,0,,1,33.3,0,60.4
451,George Fant,SEA,26,T,16,7,1,1,9,0,,0,0,9,9,0,0,,0,0,0,104.2
452,Matt Flanagan,WAS,23,TE,3,1,1,1,14,0,1,7,7,7,7,7,0,,0,0,0,118.7
453,Nick Foles,PHI,29,QB,5,5,1,1,10,0,1,8,8,2,2,8,0,,0,0,0,108.3
454,Shelton Gibson,PHI,24,WR,15,0,3,1,48,0,1,48,48,0,0,33.3,0,,0,0,0,81.9
455,Mike Gillislee,NOR,28,RB,4,0,1,1,9,0,0,0,0,9,9,0,0,,0,0,0,104.2
456,Justin Hardee,NOR,24,WR,16,0,1,1,10,0,1,8,8,2,2,8,0,,0,0,0,108.3
457,Keon Hatcher,OAK,24,WR,3,0,2,1,8,0,,0,0,8,8,7,0,,0,0,0,60.4
458,Ryan Hewitt,IND,27,TE,12,2,2,1,1,1,1,1,1,0,0,3,0,,0,0,0,95.8
459,Darrius Heyward-Bey,PIT,31,WR,14,2,2,1,9,0,,-1,-1,10,10,12.5,0,,0,0,0,62.5
460,Brian Hill,ATL,23,RB,10,0,2,1,9,0,0,4,4,5,5,3.5,2,0.5,0,0,0,62.5
461,Jeremy Hill,NWE,26,RB,1,0,1,1,6,0,0,1,1,5,5,1,0,,0,0,0,91.7
462,JJ Jones,2TM,26,WR,4,0,1,1,3,0,,2,2,1,1,2,0,,0,0,0,79.2
463,Ryan Kelly,IND,25,C,12,12,1,1,-4,0,,-3,-3,-1,-1,-3,0,,0,0,0,79.2
464,Marcus Kemp,KAN,23,WR,16,0,2,1,7,0,,-1,-1,8,8,2,0,,0,0,0,58.3
465,Darvin Kidsy,WAS,23,WR,2,0,2,1,8,0,1,6,6,2,2,9,0,,0,0,0,60.4
466,Allen Lazard,GNB,23,WR,1,0,1,1,7,0,,7,7,0,0,7,0,,0,0,0,95.8
467,Khari Lee,BUF,26,TE,2,0,1,1,5,0,,-1,-1,6,6,-1,0,,0,0,0,87.5
468,Andrew Luck*,IND,29,QB,16,16,2,1,4,0,1,4,4,0,0,4,0,,0,0,0,56.2
469,Josh Malone,CIN,22,WR,9,0,5,1,12,0,1,12,12,0,0,7.2,0,,0,0,1,0
470,Marcus Mariota,TEN,25,QB,14,13,1,1,21,0,1,10,10,11,11,10,0,,0,0,0,118.7
471,Johnny Mundt,LAR,24,TE,10,0,1,1,5,0,,0,0,5,5,0,0,,0,0,0,87.5
472,Cam Phillips,BUF,23,WR,2,0,1,1,9,0,,2,2,7,7,2,0,,0,0,0,104.2
473,Spencer Pulley,NYG,25,C,13,9,1,1,-2,0,,-2,-2,0,0,-2,0,,0,0,0,79.2
474,Richard Rodgers,PHI,26,TE,7,0,1,1,7,0,1,-2,-2,9,9,-2,0,,0,0,0,95.8
475,Ben Roethlisberger,PIT,36,QB,16,16,1,1,-1,0,0,0,0,-1,-1,0,0,,0,0,0,79.2
476,Matt Ryan,ATL,33,QB,16,16,1,1,5,1,1,1,1,4,4,1,0,,0,0,0,127.1
477,Matt Schaub,ATL,37,QB,3,0,1,1,-7,0,0,-7,-7,0,0,-7,0,,0,0,0,79.2
478,Sam Shields,LAR,31,DB,16,2,1,1,12,0,1,6,6,6,6,6,0,,0,0,0,116.7
479,Bradley Sowell,CHI,29,T,16,1,2,1,2,1,1,2,2,0,0,2,0,,0,0,0,95.8
480,Joe Staley,SFO,34,LT,16,16,1,1,-5,0,,-10,-10,5,5,-10,0,,0,0,0,79.2
481,Tyrone Swoopes,SEA,24,TE,1,1,1,1,23,0,1,8,8,15,15,8,0,,0,0,0,118.7
482,Ryan Tannehill,MIA,30,QB,11,11,1,1,3,1,1,2,2,1,1,2,0,,0,0,0,118.7
483,Robert Turbin,IND,29,RB,2,0,2,1,3,0,,0,0,3,3,-3,0,,0,0,0,56.2
484,Alejandro Villanueva*,PIT,30,LT,16,16,1,1,2,1,1,2,2,0,0,2,0,,0,0,0,118.7
485,Danny Vitale,GNB,25,RB,5,0,2,1,2,0,1,2,2,0,0,1.5,0,,0,0,0,56.2
486,DeAndre Washington,OAK,25,RB,10,0,1,1,9,0,0,2,2,7,7,2,1,1,0,0,0,104.2
487,Justin Watson,TAM,23,WR,12,0,3,1,5,0,,5,5,0,0,5,0,,0,0,0,42.4
488,Derek Watt,LAC,26,FB,16,5,1,1,2,0,0,0,0,2,2,0,0,,0,0,0,79.2
489,Carson Wentz,PHI,26,QB,11,11,1,1,4,0,1,-5,-5,9,9,-5,0,,0,0,0,83.3
490,Tim White,BAL,24,WR,3,0,1,1,14,0,1,14,14,0,0,14,0,,0,0,0,118.7
491,Jonathan Williams,NOR,24,RB,3,0,1,1,1,0,,1,1,0,0,1,0,,0,0,0,79.2
492,Kyle Williams*,BUF,35,LDT,16,16,1,1,9,0,,-1,-1,10,10,-1,0,,0,0,0,104.2
493,Russell Wilson*,SEA,30,QB,16,16,1,1,-11,0,0,-10,-10,-1,-1,-10,0,,0,0,0,79.2
494,Brandon Zylstra,MIN,25,WR,16,0,2,1,23,0,1,15,15,8,8,21.5,0,,0,0,0,91.7
495,Josh Allen,BUF,22,QB,12,11,1,0,0,0,0,0,,0,,13,0,,0,0,0,39.6
496,Stacy Coley,2TM,24,WR,3,0,1,0,0,0,,0,,0,,9,0,,1,100,0,39.6
497,Pharoh Cooper,2TM,23,WR,7,0,1,0,0,0,,0,,0,,6,0,,0,0,0,39.6
498,Mason Crosby,GNB,34,K,16,0,1,0,0,0,,0,,0,,-2,0,,0,0,0,39.6
499,Jerome Cunningham,DET,27,TE,3,0,1,0,0,0,,0,,0,,3,0,,0,0,0,39.6
500,Darrell Daniels,2TM,24,TE,11,3,2,0,0,0,,0,,0,,28.5,0,,0,0,0,39.6
