Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
297,Matt Haack,MIA,25,P,16,0,1,2,0,1,2,2,0,0,0,
298,Marvin Hall,DET,26,WR,9,0,1,7,0,0,4,4,3,3,0,
299,Erik Harris,OAK,29,FS/SS,16,14,1,4,0,1,4,4,0,0,0,
300,Johnny Holton,PIT,29,WR,16,3,1,9,0,1,7,7,2,2,0,
301,Adam Humphries,TEN,26,WR,12,3,1,1,0,0,1,1,0,0,0,
302,Andy Janovich,DEN,26,RB,7,3,1,1,1,1,0,0,1,1,0,
303,Alshon Jeffery,PHI,29,WR,10,10,1,2,1,1,1,1,1,1,0,
304,KeeSean Johnson,ARI,23,WR,10,4,1,3,0,0,3,3,0,0,0,
305,Olabisi Johnson,MIN,22,WR,16,6,1,6,0,0,4,4,2,2,0,
306,Colin Jones,CAR,32,DB,16,0,1,5,0,1,5,5,0,0,0,
307,Zay Jones,2TM,24,WR,15,9,1,3,0,0,3,3,0,0,0,
308,Travis Kelce*,KAN,30,TE,16,16,1,4,1,1,3,3,1,1,0,
309,Brett Kern*+,TEN,33,P,16,0,1,0,0,0,0,0,0,0,0,
310,Dawson Knox,BUF,23,TE,15,11,1,9,0,1,6,6,3,3,0,
311,Jarvis Landry*,CLE,27,WR,16,16,1,10,0,1,9,9,1,1,0,
312,Allen Lazard,GNB,24,WR,16,3,1,21,0,1,15,15,6,6,1,1
313,Marqise Lee,JAX,28,WR,6,1,1,1,0,0,1,1,0,0,0,
314,Vance McDonald,PIT,29,TE,14,14,1,2,0,0,0,0,2,2,0,
315,Trace McSorley,BAL,24,QB,1,0,1,1,0,1,0,0,1,1,0,
316,Anthony Miller,CHI,25,WR,16,7,1,-1,0,0,-1,-1,0,0,0,
317,Chris Moore,BAL,26,WR,14,1,1,0,0,,0,0,0,0,0,
318,Alfred Morris,ARI,31,RB,1,0,1,4,0,1,2,2,2,2,0,
319,Quenton Nelson*+,IND,23,LG,16,16,1,0,0,,0,0,0,0,0,
320,Kalif Raymond,TEN,25,WR,8,1,1,-5,0,0,-5,-5,0,0,0,
321,Paul Richardson,WAS,27,WR,10,6,1,0,0,0,0,0,0,0,0,
322,Andre Roberts*,BUF,31,WR,13,0,1,7,0,0,5,5,2,2,0,
323,Allen Robinson,CHI,26,WR,16,15,1,2,0,0,2,2,0,0,0,
324,Ben Roethlisberger,PIT,37,QB,2,2,1,7,0,0,7,7,0,0,0,
325,Chester Rogers,IND,25,WR,12,6,1,18,0,1,18,18,0,0,0,
326,Da'Mari Scott,NYG,24,WR,5,2,1,5,0,0,2,2,3,3,0,
327,Nick Scott,LAR,24,DB,16,0,1,6,0,0,6,6,0,0,0,
328,Golden Tate,NYG,31,WR,11,10,1,16,0,1,12,12,4,4,0,
329,Michael Thomas*+,NOR,26,WR,16,15,1,-9,0,0,-9,-9,0,0,0,
330,Danny Vitale,GNB,26,RB,15,4,1,3,0,0,2,2,1,1,0,
331,Greg Ward,PHI,24,WR,7,3,1,5,0,0,5,5,0,0,0,
332,Trevon Wesco,NYJ,24,FB,16,1,1,2,0,1,-1,-1,3,3,0,
333,Mike Williams,LAC,25,WR,15,15,1,2,0,0,-1,-1,3,3,0,
334,Jarius Wright,CAR,30,WR,16,9,1,-7,0,0,-7,-7,0,0,1,1
