"Player","year","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
Michael Carter,2023,4,18,4.5,0,"11.4%",3,4,"75.0%",13,4.3,1,"36.4%",0,15,12.1,0.8,"0.8%",1,31
Joshua Kelley,2023,13,40,3.1,1,"27.1%",1,1,"100.0%",0,0.0,0,"8.3%",0,17,11.0,0.6,"0.1%",1,40
Darrynton Evans,2023,5,30,6.0,1,"10.9%",1,2,"50.0%",8,8.0,0,"15.4%",0,6,10.8,1.8,"0.1%",1,38
Miles Sanders,2023,11,10,0.9,1,"22.4%",2,3,"66.7%",4,2.0,0,"75.0%",0,16,9.4,0.6,"5.3%",1,14
Royce Freeman,2023,13,33,2.5,1,"17.8%",0,0,"0%",0,0.0,0,"0.0%",0,11,9.3,0.8,"0.4%",1,33
Patrick Ricard,2023,0,0,0.0,0,"0.0%",2,3,"66.7%",7,3.5,1,"42.9%",0,17,8.7,0.5,"0.1%",1,7
Elijah Mitchell,2023,9,19,2.1,1,"11.1%",1,2,"50.0%",-5,-5.0,0,"8.3%",0,11,8.4,0.8,"11.2%",1,14
Cordarrelle Patterson,2023,8,12,1.5,0,"12.3%",1,2,"50.0%",2,2.0,1,"14.3%",0,14,8.4,0.6,"0.9%",1,14
JK Dobbins,2023,1,4,4.0,1,"1.4%",1,1,"100.0%",5,5.0,0,"14.3%",0,1,7.9,7.9,"54.8%",1,9
Emari Demercado,2023,3,19,6.3,1,"8.1%",0,1,"0.0%",0,0.0,0,"16.7%",0,14,7.9,0.6,"0.6%",1,19
Kevin Harris,2023,1,18,18.0,1,"2.4%",0,0,"0%",0,0.0,0,"0.0%",0,4,7.8,2.0,"0.1%",1,18
Zamir White,2023,10,9,0.9,1,"20.4%",2,2,"100.0%",7,3.5,0,"18.2%",1,15,7.6,0.5,"90.3%",1,16
Damien Harris,2023,6,16,2.7,1,"9.4%",0,0,"0%",0,0.0,0,"0.0%",0,7,7.6,1.1,"4.6%",1,16
Zach Charbonnet,2023,21,15,0.7,1,"34.4%",0,1,"0.0%",0,0.0,0,"25.0%",0,16,7.5,0.5,"57.2%",1,15
Matt Breida,2023,8,15,1.9,1,"16.7%",0,0,"0%",0,0.0,0,"0.0%",0,17,7.5,0.4,"0.1%",1,15
Hunter Luepke,2023,2,4,2.0,1,"2.5%",0,0,"0%",0,0.0,0,"0.0%",0,17,6.4,0.4,"0.0%",1,4
Craig Reynolds,2023,7,23,3.3,1,"7.4%",0,0,"0%",0,0.0,0,"0.0%",1,15,6.3,0.4,"0.3%",1,23
Nick Bawden,2023,1,1,1.0,1,"2.9%",0,0,"0%",0,0.0,0,"0.0%",0,16,6.1,0.4,"0.0%",1,1
Melvin GordonI,2023,6,1,0.2,1,"8.1%",0,0,"0%",0,0.0,0,"0.0%",0,4,6.1,1.5,"0.0%",1,1
Pierre Strong,2023,6,0,0.0,1,"10.0%",0,0,"0%",0,0.0,0,"0.0%",0,17,6.0,0.4,"0.1%",1,0
Isaiah Spiller,2023,7,24,3.4,0,"14.6%",2,2,"100.0%",14,7.0,0,"16.7%",0,9,5.8,0.6,"0.2%",0,38
Alec Ingold,2023,0,0,0.0,0,"0.0%",3,3,"100.0%",22,7.3,0,"14.3%",0,17,5.2,0.3,"0.1%",0,22
Jamaal Williams,2023,10,33,3.3,0,"18.9%",1,1,"100.0%",3,3.0,0,"10.0%",0,13,4.6,0.4,"2.8%",0,36
Ty Montgomery,2023,0,0,0.0,0,"0.0%",2,2,"100.0%",20,10.0,0,"18.2%",0,13,4.0,0.3,"0.0%",0,20
Patrick Taylor,2023,8,17,2.1,0,"10.5%",2,3,"66.7%",-4,-2.0,0,"23.1%",0,11,3.3,0.3,"0.0%",0,13
Jeff Wilson,2023,8,33,4.1,0,"9.3%",0,1,"0.0%",0,0.0,0,"4.8%",0,10,3.3,0.3,"0.6%",0,33
Anthony McFarland,2023,0,0,0.0,0,"0.0%",2,2,"100.0%",11,5.5,0,"25.0%",0,3,3.1,1.0,"0.0%",0,11
Tyler Goodson,2023,4,10,2.5,0,"4.9%",1,1,"100.0%",7,7.0,0,"8.3%",0,6,2.7,0.5,"0.1%",0,17
Chase Brown,2023,7,3,0.4,0,"11.1%",1,1,"100.0%",8,8.0,0,"6.7%",0,12,2.1,0.2,"74.3%",0,11
Nick Chubb,2023,3,20,6.7,0,"5.0%",0,0,"0%",0,0.0,0,"0.0%",0,2,2.0,1.0,"82.9%",0,20
Ty Johnson,2023,5,10,2.0,0,"7.8%",1,1,"100.0%",-1,-1.0,0,"10.0%",0,9,1.9,0.2,"0.6%",0,9
Leonard Fournette,2023,4,17,4.3,0,"6.3%",0,0,"0%",0,0.0,0,"0.0%",0,2,1.7,0.9,"2.1%",0,17
Trayveon Williams,2023,1,2,2.0,0,"1.6%",1,1,"100.0%",3,3.0,0,"6.7%",0,17,1.5,0.1,"0.3%",0,5
Khari Blasingame,2023,0,0,0.0,0,"0.0%",1,1,"100.0%",4,4.0,0,"7.7%",0,16,1.4,0.1,"0.1%",0,4
Michael Burton,2023,0,0,0.0,0,"0.0%",1,1,"100.0%",4,4.0,0,"7.1%",0,17,1.4,0.1,"0.0%",0,4
Deon Jackson,2023,4,13,3.3,0,"4.9%",0,0,"0%",0,0.0,0,"0.0%",0,2,1.3,0.7,"0.0%",0,13
Ameer Abdullah,2023,0,0,0.0,0,"0.0%",1,2,"50.0%",1,1.0,0,"18.2%",0,17,1.1,0.1,"0.5%",0,1
Deuce Vaughn,2023,5,11,2.2,0,"6.3%",0,0,"0%",0,0.0,0,"0.0%",0,7,1.1,0.2,"0.9%",0,11
D'Ernest Johnson,2023,5,10,2.0,0,"9.8%",0,0,"0%",0,0.0,0,"0.0%",0,17,1.0,0.1,"0.4%",0,10
Dalvin Cook,2023,8,10,1.3,0,"22.9%",0,0,"0%",0,0.0,0,"0.0%",0,15,1.0,0.1,"0.7%",0,10
Keith Smith,2023,0,0,0.0,0,"0.0%",1,1,"100.0%",-1,-1.0,0,"7.1%",0,13,0.9,0.1,"0.0%",0,-1
Keaontay Ingram,2023,2,7,3.5,0,"5.4%",0,0,"0%",0,0.0,0,"0.0%",0,7,0.7,0.1,"0.1%",0,7
Brandon Bolden,2023,2,6,3.0,0,"4.1%",0,0,"0%",0,0.0,0,"0.0%",0,5,0.6,0.1,"0.0%",0,6
Trey Sermon,2023,2,4,2.0,0,"2.5%",0,0,"0%",0,0.0,0,"0.0%",0,12,0.4,0.0,"0.9%",0,4
Emanuel Wilson,2023,1,3,3.0,0,"1.3%",0,0,"0%",0,0.0,0,"0.0%",0,7,0.3,0.0,"0.1%",0,3
Dare Ogunbowale,2023,2,3,1.5,0,"3.3%",0,0,"0%",0,0.0,0,"0.0%",0,10,0.3,0.0,"0.3%",0,3
Keaton Mitchell,2023,4,2,0.5,0,"5.4%",0,1,"0.0%",0,0.0,0,"14.3%",0,7,0.2,0.0,"8.3%",0,2
Raheem Blackshear,2023,2,2,1.0,0,"4.1%",0,0,"0%",0,0.0,0,"0.0%",0,11,0.2,0.0,"0.1%",0,2
Eric Gray,2023,1,2,2.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,14,0.2,0.0,"1.7%",0,2
Jashaun Corbin,2023,1,1,1.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,3,0.1,0.0,"0.0%",0,1
Elijah Dotson,2023,1,1,1.0,0,"2.1%",0,0,"0%",0,0.0,0,"0.0%",0,4,0.1,0.0,"0.0%",0,1
Corey Clement,2023,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,2,0.0,0.0,"0.0%",0,0
Chris Brooks,2023,2,0,0.0,0,"2.3%",0,0,"0%",0,0.0,0,"0.0%",0,4,0.0,0.0,"0.1%",0,0
Derrick Gore,2023,1,0,0.0,0,"2.4%",0,0,"0%",0,0.0,0,"0.0%",0,5,0.0,0.0,"0.0%",0,0
Mike Boone,2023,1,0,0.0,0,"1.7%",0,0,"0%",0,0.0,0,"0.0%",0,9,0.0,0.0,"0.0%",0,0
Bryant Koback,2023,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,1,0.0,0.0,"0.0%",0,0
Ke'Shawn Vaughn,2023,1,-2,-2.0,0,"2.4%",0,1,"0.0%",0,0.0,0,"11.1%",0,5,-0.2,0.0,"0.0%",0,-2
DeeJay Dallas,2023,2,-2,-1.0,0,"3.3%",0,0,"0%",0,0.0,0,"0.0%",0,17,-0.2,0.0,"0.1%",0,-2
Chase Edmonds,2023,4,-4,-1.0,0,"9.5%",0,0,"0%",0,0.0,0,"0.0%",0,13,-0.4,0.0,"0.5%",0,-4
Boston Scott,2023,1,-7,-7.0,0,"1.6%",0,0,"0%",0,0.0,0,"0.0%",0,12,-0.7,-0.1,"0.1%",0,-7
