"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Wendell Smallwood,PHI,2018,24,RB,16,6,87,364,3,22,186,2.1,178,2,5,17,35,28,230,2,9,4,0.1,226,8.1,0.3,1,28.0,2,5,0,113.1,14,43,3.1,3,"22.2%",3,5,"60.0%",28,9.3,1,"38.5%",4,71,332.0,117.4,41,82,41
Matt Breida,SFO,2018,23,RB,14,13,153,814,3,36,496,3.2,318,2,12,12,31,27,261,2,12,26,1.0,235,8.7,2.2,3,9.0,0,0,0,123.3,23,62,2.7,2,"38.3%",4,4,"100.0%",37,9.3,2,"26.7%",4,99,134.8,162.5,25,43,18
Ito Smith,ATL,2018,23,RB,14,0,90,315,4,18,169,1.9,146,1,8,11,32,27,152,0,9,-8,-0.3,160,5.9,-0.3,5,5.4,1,3,0,86.5,21,58,2.8,4,"50.0%",3,4,"75.0%",21,7.0,0,"25.0%",4,79,999.0,97.7,49,90,41
Jamaal Williams,GNB,2018,23,RB,16,8,121,464,3,25,231,1.9,233,1,5,24,41,27,210,0,11,-13,-0.5,223,8.3,0.8,2,13.5,0,0,0,78.3,14,25,1.8,3,"36.8%",2,3,"66.7%",12,6.0,0,"30.0%",3,37,78.0,114.4,43,27,-16
Kareem Hunt,KAN,2018,23,RB,11,11,181,824,7,46,387,2.1,437,2,18,10,35,26,378,7,16,40,1.5,338,13.0,1.9,8,3.3,3,8,0,148.6,27,69,2.6,7,"56.3%",6,9,"66.7%",54,9.0,3,"40.9%",10,123,10.2,230.2,11,7,-4
Aaron Jones,GNB,2018,24,RB,12,8,133,728,8,41,472,3.5,256,1,6,22,35,26,206,1,12,-15,-0.6,221,8.5,0.3,2,13.0,4,11,0,98.0,18,88,4.9,6,"47.4%",2,3,"66.7%",9,4.5,0,"30.0%",6,97,116.8,171.4,23,39,16
Jaylen Samuels,PIT,2018,22,RB,14,3,56,256,0,13,148,2.6,108,1,2,28,29,26,199,3,10,-16,-0.6,215,8.3,0.1,6,4.3,0,0,0,129.7,7,19,2.7,0,"15.6%",5,5,"100.0%",35,7.0,3,"38.5%",3,54,273.0,89.5,55,70,15
Lamar Miller,HOU,2018,27,RB,14,14,210,973,5,36,472,2.2,501,2,11,19,35,25,163,1,8,-8,-0.3,171,6.8,0.7,1,25.0,2,5,2,66.7,29,35,1.2,3,"65.9%",1,2,"50.0%",4,4.0,1,"33.3%",4,39,46.8,172.6,22,19,-3
Damien Williams,KAN,2018,26,RB,16,3,50,256,4,15,155,3.1,101,2,1,50,24,23,160,2,9,-48,-2.1,208,9.0,-1.8,1,23.0,0,0,0,122.2,7,24,3.4,3,"14.6%",7,7,"100.0%",24,3.4,2,"31.8%",5,48,999.0,98.6,47,91,44
Corey Clement,PHI,2018,24,RB,11,0,68,259,2,15,112,1.6,147,2,2,34,25,22,192,0,10,-72,-3.3,264,12.0,-1.2,4,5.5,0,0,0,98.7,16,57,3.6,2,"25.4%",2,2,"100.0%",13,6.5,0,"15.4%",2,70,144.8,81.1,61,48,-13
Leonard Fournette,JAX,2018,23,RB,8,8,133,439,5,23,213,1.6,226,1,3,44,26,22,185,1,10,-28,-1.3,213,9.7,-0.5,0,,2,7,0,109.1,22,40,1.8,5,"61.1%",3,3,"100.0%",17,5.7,1,"25.0%",6,57,10.0,120.4,39,6,-33
Latavius Murray,MIN,2018,28,RB,16,6,140,578,6,23,289,2.1,289,2,8,17,26,22,141,0,7,26,1.2,115,5.2,1.1,3,7.3,2,7,1,73.2,21,52,2.5,4,"53.8%",2,2,"100.0%",10,5.0,0,"28.6%",4,62,142.6,131.9,37,47,10
Isaiah Crowell,NYJ,2018,25,RB,13,6,143,685,6,26,299,2.1,386,2,12,11,28,21,152,0,7,-21,-1.0,173,8.2,-0.3,2,10.5,2,7,0,87.2,16,43,2.7,4,"38.1%",0,1,"0.0%",0,0.0,0,"20.0%",4,43,94.8,140.7,32,33,1
Mark Ingram,NOR,2018,29,RB,12,6,138,645,6,34,274,2.0,371,2,18,7,27,21,170,1,5,15,0.7,155,7.4,0.3,1,21.0,0,0,1,89.8,26,92,3.5,6,"32.1%",1,1,"100.0%",1,1.0,0,"3.0%",6,93,52.2,142.5,31,20,-11
Peyton Barber,TAM,2018,24,RB,16,16,234,871,5,41,424,1.8,447,1,20,11,29,20,92,1,4,28,1.4,64,3.2,1.4,1,20.0,2,6,0,84.3,36,78,2.2,5,"80.0%",2,5,"40.0%",12,6.0,1,"31.3%",6,90,106.4,150.3,30,35,5
Alfred Blue,HOU,2018,27,RB,16,2,150,499,2,25,307,2.0,192,1,7,21,27,20,154,0,4,47,2.4,107,5.4,2.7,2,10.0,1,3,0,87.6,14,16,1.1,2,"31.8%",2,3,"66.7%",7,3.5,0,"50.0%",2,23,321.7,97.3,50,79,29
Chris Carson,SEA,2018,24,RB,14,14,247,1151,9,61,556,2.3,595,2,23,10,24,20,163,0,7,0,0.0,163,8.2,0.0,2,10.0,1,4,0,95.0,40,101,2.5,8,"57.1%",3,3,"100.0%",15,5.0,0,"50.0%",8,116,90.4,201.4,14,32,18
Nick Chubb,CLE,2018,23,RB,16,9,192,996,8,47,398,2.1,598,3,22,8,29,20,149,2,5,-32,-1.6,181,9.1,1.6,0,,3,10,0,104.0,26,57,2.2,5,"50.0%",4,4,"100.0%",39,9.8,2,"30.8%",7,96,127.4,194.5,16,41,25
Chase Edmonds,ARI,2018,22,RB,16,0,60,208,2,14,115,1.9,93,1,4,15,23,20,103,0,5,-18,-0.9,121,6.1,-0.5,3,6.7,1,4,0,85.3,8,28,3.5,2,"22.9%",0,0,"0%",0,0.0,0,"0.0%",2,28,245.0,63.1,68,65,-3
Jordan Howard,CHI,2018,24,RB,16,15,250,935,9,53,443,1.8,492,2,8,31,26,20,145,0,7,18,0.9,127,6.4,0.8,1,20.0,0,0,0,89.4,30,95,3.2,7,"71.4%",3,5,"60.0%",6,2.0,0,"23.8%",7,101,23.6,180.0,19,11,-8
Adrian Peterson,WAS,2018,33,RB,16,16,251,1042,7,47,572,2.3,470,1,20,12,26,20,208,1,9,7,0.4,201,10.1,0.3,7,2.9,3,11,0,112.3,31,55,1.8,5,"73.8%",2,3,"66.7%",15,7.5,1,"33.3%",6,70,125.4,189.0,18,40,22
Spencer Ware,KAN,2018,27,RB,13,2,51,246,2,14,150,2.9,96,1,3,17,23,20,224,0,9,-21,-1.1,245,12.3,0.2,4,5.0,2,8,0,107.2,12,21,1.8,2,"25.0%",1,2,"50.0%",4,4.0,0,"9.1%",2,25,209.7,79.0,62,61,-1
Elijah McGuire,NYJ,2018,24,RB,8,3,92,276,3,15,100,1.1,176,1,5,18,31,19,193,1,10,34,1.8,159,8.4,4.9,5,3.8,4,12,0,89.9,12,28,2.3,3,"28.6%",1,2,"50.0%",20,20.0,1,"40.0%",4,48,280.5,85.9,58,72,14
Doug Martin,OAK,2018,29,RB,16,9,172,723,4,37,376,2.2,347,2,10,17,24,18,116,0,6,22,1.2,94,5.2,0.9,1,18.0,2,8,0,84.7,31,91,2.9,3,"50.0%",1,2,"50.0%",6,6.0,0,"16.7%",3,97,173.3,119.9,40,55,15
Trenton Cannon,NYJ,2018,24,RB,16,0,38,113,1,7,26,0.7,87,2,5,7,25,17,144,0,4,26,1.5,118,6.9,6.3,1,17.0,3,12,1,66.1,4,7,1.8,1,"9.5%",0,1,"0.0%",0,0.0,0,"20.0%",1,7,367.0,48.7,77,85,8
Marlon Mack,IND,2018,22,RB,12,10,195,908,9,50,490,2.5,418,2,10,19,26,17,103,1,3,-23,-1.4,126,7.4,-1.1,0,,3,11,1,69.9,32,96,3.0,8,"53.3%",2,2,"100.0%",11,5.5,0,"12.5%",8,107,104.8,178.1,20,34,14
Kapri Bibbs,"2TM",2018,25,RB,12,0,21,103,3,8,71,3.4,32,1,2,10,23,16,115,1,4,7,0.4,108,6.8,1.7,0,,3,13,2,59.1,7,23,3.3,3,"16.7%",0,0,"0%",0,0.0,0,"0.0%",3,23,999.0,61.8,69,92,23
Jordan Wilkins,IND,2018,24,RB,16,3,60,336,1,15,203,3.4,133,2,2,30,17,16,85,0,2,-20,-1.3,105,6.6,-1.5,2,8.0,0,0,0,87.5,4,25,6.3,1,"6.7%",5,5,"100.0%",17,3.4,0,"31.3%",1,42,165.8,60.1,73,53,-20
Alex Collins,BAL,2018,24,RB,10,10,114,411,7,22,193,1.7,218,1,10,11,21,15,105,1,6,8,0.5,97,6.5,1.3,4,3.8,2,9,0,98.3,21,94,4.5,7,"40.4%",3,5,"60.0%",17,5.7,1,"45.5%",8,111,37.4,108.6,44,15,-29
Derrick Henry,TEN,2018,24,RB,16,12,215,1059,12,50,403,1.9,656,3,34,6,18,15,99,0,4,-16,-1.1,115,7.7,-0.7,3,5.0,0,0,0,89.6,43,168,3.9,10,"65.2%",2,2,"100.0%",2,1.0,0,"20.0%",10,170,42.2,201.4,15,17,2
Justin Jackson,LAC,2018,22,RB,13,1,50,206,2,13,107,2.1,99,2,5,10,19,15,135,0,5,-17,-1.1,152,10.1,-1.0,1,15.0,1,5,0,96.3,5,30,6.0,2,"10.6%",0,2,"0.0%",0,0.0,0,"10.0%",2,30,999.0,61.1,70,93,23
Marshawn Lynch,OAK,2018,32,RB,6,6,90,376,3,20,90,1.0,286,3,6,15,20,15,84,0,6,-6,-0.4,90,6.0,-0.3,1,15.0,4,20,0,82.1,15,29,1.9,3,"24.2%",4,5,"80.0%",5,1.3,0,"41.7%",3,34,61.4,79.0,63,22,-41
Darren Sproles,PHI,2018,35,RB,6,2,29,120,1,6,87,3.0,33,1,1,29,23,15,160,2,6,33,2.2,127,8.5,1.2,2,7.5,2,8,0,114.4,5,21,4.2,1,"7.9%",2,4,"50.0%",9,4.5,1,"30.8%",2,30,247.7,61.0,71,67,-4
Rex Burkhead,NWE,2018,28,RB,8,4,57,186,0,11,93,1.6,93,1,2,28,20,14,131,1,4,10,0.7,121,8.6,2.2,0,,0,0,1,83.5,2,5,2.5,0,"2.5%",1,5,"20.0%",6,6.0,0,"16.7%",0,11,69.8,49.7,76,24,-52
Royce Freeman,DEN,2018,22,RB,14,8,130,521,5,30,194,1.5,327,2,16,8,20,14,72,0,2,13,0.9,59,4.2,0.8,1,14.0,2,10,0,75.4,18,49,2.7,5,"36.7%",0,0,"0%",0,0.0,0,"0.0%",5,49,41.2,101.3,46,16,-30
Wayne Gallman,NYG,2018,24,RB,15,1,51,176,1,7,84,1.6,92,1,4,12,22,14,89,0,5,8,0.6,81,5.8,1.3,3,4.7,2,9,0,72.0,9,27,3.0,0,"17.0%",0,3,"0.0%",0,0.0,0,"15.8%",0,27,286.3,44.5,78,73,-5
Chris Ivory,BUF,2018,30,RB,13,1,115,385,1,25,116,1.0,269,2,8,14,21,13,205,0,7,1,0.1,204,15.7,-0.3,1,13.0,4,19,0,94.3,9,7,0.8,1,"23.7%",0,0,"0%",0,0.0,0,"0.0%",1,7,214.3,78.0,64,63,-1
