"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Justin Jackson,LAC,2021,25,RB,14,2,68,364,2,18,257,3.8,107,2,0,,25,22,178,0,8,13,0.6,165,7.5,0.8,1,22.0,2,8,0,96.3,20,84,4.2,2,"25.6%",5,5,"100.0%",26,5.2,0,"23.8%",2,110,235.0,86.2,58,64,6
Dontrell Hilliard,TEN,2021,26,RB,8,5,56,350,2,15,214,3.8,136,2,4,14,26,19,87,0,7,-21,-1.1,108,5.7,-0.9,0,,3,12,1,60.9,3,2,0.7,0,"4.8%",4,5,"80.0%",22,5.5,0,"33.3%",0,24,999.0,72.7,64,98,34
Khalil Herbert,CHI,2021,23,RB,17,2,103,433,2,24,247,2.4,186,2,9,11,16,14,96,0,6,-5,-0.4,101,7.2,-0.3,1,14.0,1,6,0,91.7,12,43,3.6,2,"19.4%",2,2,"100.0%",-4,-2.0,0,"20.0%",2,39,999.0,78.9,62,101,39
Rhamondre Stevenson,NWE,2021,23,RB,12,2,133,606,5,33,250,1.9,356,3,16,8,18,14,123,0,3,-22,-1.6,145,10.4,-0.3,5,2.8,1,6,0,95.1,25,70,2.8,5,"30.9%",1,2,"50.0%",0,0.0,0,"14.3%",5,70,169.0,114.9,46,47,1
Jerick McKinnon,KAN,2021,29,RB,13,0,12,62,0,2,43,3.6,19,2,0,,20,13,107,1,6,-18,-1.4,125,9.6,-0.5,2,6.5,1,5,0,95.2,0,0,0.0,0,"0.0%",2,3,"66.7%",19,9.5,0,"17.6%",0,19,235.5,35.9,88,65,-23
Dare Ogunbowale,JAX,2021,27,RB,17,2,43,137,1,5,71,1.7,66,2,0,,21,13,114,1,3,14,1.1,100,7.7,1.5,0,,3,14,0,92.2,4,8,2.0,1,"10.0%",0,2,"0.0%",0,0.0,0,"40.0%",1,8,999.0,50.1,76,102,26
Salvon Ahmed,MIA,2021,23,RB,12,0,54,149,0,8,76,1.4,73,1,3,18,19,12,117,0,4,4,0.3,113,9.4,2.7,1,12.0,4,21,0,80.4,3,17,5.7,0,"5.5%",1,3,"33.3%",9,9.0,0,"20.0%",0,26,250.3,38.6,85,71,-14
Tevin Coleman,NYJ,2021,28,RB,11,5,84,356,0,19,166,2.0,190,2,6,14,16,11,49,0,2,-34,-3.1,83,7.5,-1.1,0,,2,12,0,72.1,13,44,3.4,0,"22.0%",5,6,"83.3%",24,4.8,0,"50.0%",0,68,167.8,51.5,74,46,-28
Latavius Murray,BAL,2021,31,RB,14,6,119,501,6,36,291,2.4,210,2,10,12,13,10,75,0,2,4,0.4,71,7.1,0.1,0,,1,8,0,90.2,22,96,4.4,5,"44.0%",2,4,"50.0%",10,5.0,0,"23.5%",5,106,194.2,103.6,53,52,-1
D'Onta Foreman,TEN,2021,25,RB,9,3,133,566,3,22,267,2.0,299,2,11,12,11,9,123,0,6,2,0.2,121,13.4,0.2,1,9.0,1,9,0,113.3,20,66,3.3,2,"32.3%",1,1,"100.0%",11,11.0,0,"6.7%",2,77,335.0,93.9,56,86,30
Jeff Wilson,SFO,2021,26,RB,9,4,79,294,2,19,195,2.5,99,1,2,40,8,7,31,0,1,-12,-1.7,43,6.1,-1.3,0,,0,0,0,82.8,10,19,1.9,2,"27.0%",2,3,"66.7%",1,0.5,0,"20.0%",2,20,252.5,51.5,75,73,-2
Eno Benjamin,ARI,2021,22,RB,9,0,34,118,1,4,53,1.6,65,2,1,34,7,6,42,0,4,-4,-0.7,46,7.7,-0.1,2,3.0,0,0,0,91.7,1,2,2.0,0,"1.6%",0,0,"0%",0,0.0,0,"0.0%",0,2,299.0,28.0,95,83,-12
Joshua Kelley,LAC,2021,24,RB,10,0,33,102,0,5,59,1.8,43,1,2,16,6,5,38,0,1,7,1.4,31,6.2,2.2,1,5.0,0,0,0,93.1,5,13,2.6,0,"6.4%",0,1,"0.0%",0,0.0,0,"4.8%",0,13,270.5,17.0,108,76,-32
Benny Snell,PIT,2021,23,RB,17,0,36,98,0,3,56,1.6,42,1,3,12,4,2,13,0,0,-7,-3.5,20,10.0,-1.0,0,,2,50,0,57.3,1,4,4.0,0,"3.4%",0,0,"0%",0,0.0,0,"0.0%",0,4,244.7,13.1,111,68,-43
Alvin Kamara,NOR,2022,27,RB,15,13,223,897,2,40,450,2.0,447,2,7,31,77,57,490,2,17,25,0.4,465,8.2,0.9,4,14.3,5,6,0,98.9,24,56,2.3,2,"66.7%",7,11,"63.6%",41,5.9,1,"68.8%",3,97,13.3,211.7,16,8,-8
Rachaad White,TAM,2022,23,RB,17,8,129,481,1,27,315,2.4,166,1,4,32,58,50,290,2,13,-19,-0.4,309,6.2,-0.3,3,16.7,2,3,0,99.0,10,21,2.1,1,"27.0%",6,8,"75.0%",19,3.2,2,"44.4%",3,40,193.0,139.1,36,57,21
D'Andre Swift,DET,2022,23,RB,14,8,99,542,5,21,369,3.7,173,2,5,19,70,48,389,3,17,-51,-1.1,440,9.2,0.5,3,16.0,3,4,0,96.7,23,111,4.8,5,"28.0%",9,13,"69.2%",62,6.9,1,"65.0%",6,173,15.5,191.1,21,9,-12
Devin Singletary,BUF,2022,25,RB,16,16,177,819,5,43,546,3.1,273,2,9,19,52,38,280,1,15,23,0.6,257,6.8,0.2,2,19.0,6,12,0,91.8,34,88,2.6,4,"58.6%",5,8,"62.5%",16,3.2,1,"47.1%",5,104,82.5,177.9,23,27,4
Kareem Hunt,CLE,2022,27,RB,17,0,123,468,3,30,233,1.9,235,2,6,20,44,35,210,1,11,-33,-0.9,243,6.9,-0.5,7,5.0,4,9,0,94.1,24,56,2.3,2,"36.4%",4,8,"50.0%",14,3.5,1,"100.0%",3,70,85.3,126.8,39,31,-8
David Montgomery,CHI,2022,25,RB,16,16,201,801,5,41,405,2.0,396,2,20,10,40,34,316,1,10,33,1.0,283,8.3,1.3,6,5.7,1,2,1,97.5,34,120,3.5,5,"57.6%",3,3,"100.0%",15,5.0,1,"60.0%",6,135,36.5,177.7,24,17,-7
Raheem Mostert,MIA,2022,30,RB,16,14,181,891,3,44,512,2.8,379,2,16,11,42,31,202,2,11,23,0.7,179,5.8,1.1,8,3.9,2,5,1,89.6,20,60,3.0,2,"39.2%",5,6,"83.3%",24,4.8,2,"37.5%",4,84,144.8,168.3,25,44,19
Jaylen Warren,PIT,2022,24,RB,16,0,77,379,1,20,242,3.1,137,2,5,15,33,28,214,0,14,-11,-0.4,225,8.0,-0.5,3,9.3,3,9,0,93.7,12,40,3.3,1,"24.0%",4,4,"100.0%",20,5.0,0,"30.8%",1,60,258.0,93.3,47,75,28
Latavius Murray,"2TM",2022,32,RB,13,7,171,760,6,44,478,2.8,282,2,5,34,35,27,132,0,4,-56,-2.1,188,7.0,-1.8,0,,0,0,0,82.1,10,33,3.3,5,"27.8%",0,0,"0%",0,0.0,0,"0.0%",5,33,999.0,154.2,32,80,48
Ameer Abdullah,LVR,2022,29,RB,17,0,4,20,0,2,13,3.3,7,2,0,,32,25,211,1,8,16,0.6,195,7.8,3.0,2,12.5,1,3,0,104.6,1,3,3.0,0,"2.3%",4,5,"80.0%",38,9.5,1,"50.0%",1,41,242.5,54.1,68,70,2
James Cook,BUF,2022,23,RB,16,0,89,507,2,25,329,3.7,178,2,3,29,32,21,180,1,5,48,2.3,132,6.3,2.4,0,,3,9,1,77.6,13,32,2.5,0,"22.4%",3,6,"50.0%",24,8.0,1,"35.3%",1,56,120.0,105.7,44,40,-4
Breece Hall,NYJ,2022,21,RB,7,2,80,463,4,20,332,4.2,131,2,3,26,31,19,218,1,8,47,2.5,171,9.0,4.7,2,9.5,5,16,1,79.8,15,49,3.3,2,"23.4%",3,5,"60.0%",17,5.7,1,"29.4%",3,66,52.3,115.1,42,23,-19
Ezekiel Elliott,DAL,2022,27,RB,15,14,231,876,12,52,520,2.3,356,2,9,25,23,17,92,0,4,4,0.2,88,5.2,0.0,1,17.0,2,9,0,80.3,39,111,2.8,12,"60.0%",2,2,"100.0%",3,1.5,0,"15.4%",12,114,30.3,185.8,22,16,-6
Darrell Henderson,LAR,2022,25,RB,10,7,70,283,3,14,185,2.6,98,1,2,35,22,17,102,0,5,-8,-0.5,110,6.5,1.3,0,,0,0,0,85.8,10,36,3.6,3,"24.4%",1,2,"50.0%",7,7.0,0,"25.0%",3,43,132.5,73.5,60,41,-19
Tyler Allgeier,ATL,2022,22,RB,16,7,210,1035,3,53,609,2.9,426,2,5,42,17,16,139,1,8,-25,-1.6,164,10.3,-1.6,1,16.0,0,0,0,120.3,33,116,3.5,3,"39.8%",0,0,"0%",0,0.0,0,"0.0%",3,116,186.3,159.4,29,53,24
Chuba Hubbard,CAR,2022,23,RB,15,2,95,466,2,23,295,3.1,171,2,4,23,17,14,171,0,5,29,2.1,142,10.1,0.5,1,14.0,1,6,0,108.6,11,42,3.8,2,"20.8%",1,1,"100.0%",6,6.0,0,"33.3%",2,48,193.0,87.7,53,58,5
Isiah Pacheco,KAN,2022,23,RB,17,11,170,830,5,37,537,3.2,293,2,4,42,14,13,130,0,7,-27,-2.1,157,12.1,-0.6,1,13.0,0,0,0,105.4,30,84,2.8,4,"47.6%",1,1,"100.0%",9,9.0,0,"4.5%",4,93,178.0,135.0,37,50,13
Justice Hill,BAL,2022,25,RB,15,0,49,262,0,15,176,3.6,86,2,7,7,12,12,58,0,2,-25,-2.1,83,6.9,-2.1,0,,0,0,0,86.8,4,15,3.8,0,"7.7%",0,0,"0%",0,0.0,0,"0.0%",0,15,999.0,42.0,81,86,5
Ty Johnson,NYJ,2022,25,RB,17,1,30,160,1,5,72,2.4,88,3,7,4,24,12,88,0,3,15,1.3,73,6.1,2.0,1,12.0,1,4,1,41.7,2,0,0.0,0,"3.1%",0,0,"0%",0,0.0,0,"0.0%",0,0,999.0,42.8,79,88,9
Zack Moss,"2TM",2022,25,RB,13,3,93,456,1,18,263,2.8,193,2,8,11,13,11,39,0,2,-3,-0.3,42,3.8,-0.4,2,5.5,1,8,0,79.2,10,12,1.2,0,"17.2%",0,0,"0%",0,0.0,0,"0.0%",0,12,256.5,64.5,63,74,11
Craig Reynolds,DET,2022,26,RB,9,0,23,102,0,4,68,3.0,34,2,0,,10,9,116,0,5,4,0.4,112,12.4,0.8,1,9.0,0,0,0,115.0,1,5,5.0,0,"1.2%",0,0,"0%",0,0.0,0,"0.0%",0,5,999.0,30.8,85,91,6
Brian Robinson,WAS,2022,23,RB,12,9,205,797,2,49,457,2.2,340,2,8,25,12,9,60,1,3,-12,-1.3,72,8.0,-0.9,2,4.5,1,8,1,78.5,24,52,2.2,2,"45.3%",1,1,"100.0%",14,14.0,1,"9.1%",3,66,153.8,112.7,43,46,3
Kyren Williams,LAR,2022,22,RB,10,0,35,139,0,6,80,2.3,59,2,0,,12,9,76,0,5,-4,-0.4,80,8.9,1.4,1,9.0,0,0,1,56.2,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"12.5%",0,0,999.0,30.5,86,92,6
Royce Freeman,HOU,2022,26,RB,4,1,41,117,0,7,92,2.2,25,1,2,20,8,6,33,0,0,-6,-1.0,39,6.5,-0.8,1,6.0,0,0,0,81.8,7,25,3.6,0,"10.9%",0,0,"0%",0,0.0,0,"0.0%",0,25,999.0,19.0,96,96,0
Tony Jones,"2TM",2022,25,RB,6,0,10,24,0,3,12,1.2,12,1,1,10,8,5,30,0,0,-4,-0.8,34,6.8,-2.8,0,,1,12,1,30.2,0,0,0.0,0,"0.0%",1,1,"100.0%",5,5.0,0,"16.7%",0,5,999.0,10.4,103,101,-2
Salvon Ahmed,MIA,2022,24,RB,12,0,12,64,1,4,37,3.1,27,2,1,12,1,1,8,0,0,1,1.0,7,7.0,1.0,0,,0,0,0,100.0,2,16,8.0,1,"3.9%",0,0,"0%",0,0.0,0,"0.0%",1,16,999.0,14.2,102,114,12
Gus Edwards,BAL,2022,27,RB,9,4,87,433,3,30,248,2.9,185,2,6,14,2,0,0,0,0,0,,0,,3.0,0,,0,0,0,39.6,14,30,2.1,3,"26.9%",0,0,"0%",0,0.0,0,"0.0%",3,30,247.0,59.3,65,72,7
