"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Joe Mixon,CIN,2020,24,RB,6,6,119,428,3,20,226,1.9,202,2,3,40,26,21,138,1,5,-29,-1.4,167,8.0,-1.0,2,10.5,1,4,0,101.6,18,35,1.9,1,"34.0%",2,3,"66.7%",9,4.5,1,"15.0%",2,44,12.8,99.6,48,8,-40
Darrel Williams,KAN,2020,25,RB,16,0,39,169,1,14,104,2.7,65,2,0,,26,18,116,0,6,-40,-2.2,156,8.7,-0.8,1,18.0,2,8,0,78.4,4,17,4.3,1,"12.1%",1,2,"50.0%",9,9.0,0,"22.2%",1,26,174.5,54.5,73,56,-17
Devontae Booker,LVR,2020,28,RB,16,1,93,423,3,21,236,2.5,187,2,5,19,21,17,84,0,2,3,0.2,81,4.8,0.3,2,8.5,0,0,1,63.5,17,43,2.5,1,"20.0%",3,3,"100.0%",6,2.0,0,"23.1%",1,49,999.0,85.7,55,105,50
DeeJay Dallas,SEA,2020,22,RB,12,2,34,108,2,9,47,1.4,61,2,2,17,20,17,111,1,5,1,0.1,110,6.5,0.1,1,17.0,0,0,0,106.5,12,20,1.7,2,"25.5%",3,3,"100.0%",9,3.0,1,"30.0%",3,29,374.0,56.9,71,90,19
Ty Johnson,"2TM",2020,23,RB,13,1,54,254,1,11,155,2.9,99,2,1,54,21,16,99,1,6,-30,-1.9,129,8.1,2.4,1,16.0,0,0,0,101.1,8,18,2.3,1,"11.6%",1,1,"100.0%",18,18.0,1,"7.7%",2,36,436.0,63.3,67,98,31
Jeremy McNichols,TEN,2020,25,RB,16,0,47,204,1,8,103,2.2,101,2,5,9,17,12,55,0,0,4,0.3,51,4.3,0.5,0,,1,6,0,74.4,8,17,2.1,1,"11.0%",4,6,"66.7%",22,5.5,0,"66.7%",1,39,999.0,43.9,77,107,30
Samaje Perine,CIN,2020,25,RB,16,1,63,301,3,16,149,2.4,152,2,5,13,12,11,66,0,4,-23,-2.1,89,8.1,-1.8,3,3.7,0,0,0,89.6,15,32,2.1,2,"28.3%",5,5,"100.0%",21,4.2,0,"25.0%",2,53,423.0,65.7,65,96,31
Dare Ogunbowale,JAX,2020,26,RB,14,2,32,145,0,6,72,2.3,73,2,3,11,20,10,54,0,4,-9,-0.9,63,6.3,0.9,0,,2,10,1,35.4,2,3,1.5,0,"5.9%",0,1,"0.0%",0,0.0,0,"8.3%",0,3,325.0,29.9,90,84,-6
Travis Homer,SEA,2020,22,RB,9,0,25,88,0,2,56,2.2,32,1,2,12,10,9,90,1,4,-2,-0.2,92,10.2,0.2,1,9.0,0,0,0,137.5,2,1,0.5,0,"4.3%",1,1,"100.0%",3,3.0,1,"10.0%",1,4,417.0,32.8,86,95,9
Ameer Abdullah,MIN,2020,27,RB,16,0,8,42,0,4,25,3.1,17,2,0,,9,8,58,2,4,-5,-0.6,63,7.9,-0.6,0,,0,0,0,133.1,1,4,4.0,0,"1.1%",1,2,"50.0%",6,6.0,0,"33.3%",0,10,394.0,30.0,89,93,4
Devonta Freeman,NYG,2020,28,RB,5,4,54,172,1,9,104,1.9,68,1,2,27,10,7,58,0,3,-12,-1.7,70,10.0,-1.4,0,,2,20,0,84.6,6,11,1.8,1,"15.4%",3,3,"100.0%",3,1.0,0,"17.6%",1,14,214.3,36.0,85,63,-22
Mark Ingram,BAL,2020,31,RB,11,9,72,299,2,14,173,2.4,126,2,6,12,8,6,50,0,2,1,0.2,49,8.2,1.5,1,6.0,0,0,0,90.6,12,40,3.3,1,"18.2%",1,2,"50.0%",4,4.0,0,"20.0%",1,44,55.0,52.9,74,24,-50
Damien Harris,NWE,2020,23,RB,10,10,137,691,2,30,429,3.1,262,2,12,11,7,5,52,0,4,-3,-0.6,55,11.0,-0.4,0,,0,0,1,53.0,21,72,3.4,1,"40.4%",0,1,"0.0%",0,0.0,0,"6.7%",1,72,170.8,91.3,52,53,1
Peyton Barber,WAS,2020,26,RB,16,2,94,258,4,26,144,1.5,114,1,4,24,7,4,12,0,1,1,0.3,11,2.8,0.1,0,,1,14,0,62.2,16,28,1.8,4,"27.6%",0,0,"0%",0,0.0,0,"0.0%",4,28,259.0,55.0,72,75,3
D'Ernest Johnson,CLE,2020,24,RB,16,0,33,166,0,7,101,3.1,65,2,2,16,4,3,14,0,0,2,0.7,12,4.0,0.0,0,,1,25,0,79.2,0,0,0.0,0,"0.0%",1,1,"100.0%",5,5.0,0,"8.3%",0,5,999.0,21.0,98,116,18
AJ Dillon,GNB,2020,22,RB,11,0,46,242,2,11,100,2.2,142,3,6,8,2,2,21,0,1,5,2.5,16,8.0,2.5,1,2.0,0,0,0,110.4,4,16,4.0,1,"6.2%",1,1,"100.0%",5,5.0,0,"6.7%",1,21,169.5,40.3,81,52,-29
Elijhaa Penny,NYG,2020,27,RB,14,0,6,15,0,4,4,0.7,11,2,0,,3,2,20,0,1,4,2.0,16,8.0,1.3,0,,0,0,0,85.4,1,0,0.0,0,"2.6%",0,1,"0.0%",0,0.0,0,"5.9%",0,0,467.0,5.5,121,101,-20
Alex Collins,SEA,2020,26,RB,3,1,18,77,2,5,41,2.3,36,2,0,,2,1,4,0,0,3,3.0,1,1.0,5.5,0,,0,0,0,56.2,2,10,5.0,1,"4.3%",0,0,"0%",0,0.0,0,"0.0%",1,10,999.0,21.1,96,119,23
D'Onta Foreman,TEN,2020,24,RB,6,0,22,95,0,6,46,2.1,49,2,2,11,1,1,5,1,1,2,2.0,3,3.0,2.0,0,,0,0,0,127.1,1,3,3.0,0,"1.4%",1,1,"100.0%",5,5.0,1,"11.1%",1,8,444.0,17.0,103,100,-3
Dontrell Hilliard,"2TM",2020,25,RB,7,0,9,48,0,3,19,2.1,29,3,1,9,1,1,2,0,0,0,0.0,2,2.0,0.0,0,,0,0,0,79.2,2,13,6.5,0,"2.6%",0,0,"0%",0,0.0,0,"0.0%",0,13,999.0,6.0,120,120,0
Jordan Howard,"2TM",2020,26,RB,7,4,35,60,4,7,16,0.5,44,1,1,35,1,1,-3,0,0,-3,-3.0,0,0.0,-4.0,0,,0,0,0,79.2,11,11,1.0,4,"22.9%",0,0,"0%",0,0.0,0,"0.0%",4,11,91.3,30.7,88,34,-54
Josh Jacobs,LVR,2021,23,RB,15,14,217,872,9,45,430,2.0,442,2,20,11,64,54,348,0,14,-43,-0.8,391,7.2,-0.4,9,6.0,5,8,1,82.8,32,125,3.9,8,"56.1%",3,5,"60.0%",6,2.0,0,"26.3%",8,131,36.4,226.0,12,18,6
Tony Pollard,DAL,2021,24,RB,15,0,130,719,2,35,398,3.1,321,2,7,19,46,39,337,0,15,-4,-0.1,341,8.7,0.2,4,9.8,3,6,0,97.2,16,50,3.1,1,"29.1%",6,7,"85.7%",37,6.2,0,"28.0%",1,87,132.6,162.6,27,41,14
Ty Johnson,NYJ,2021,24,RB,16,3,61,238,2,13,174,2.9,64,1,3,20,55,34,372,2,20,38,1.1,334,9.8,2.4,3,11.3,7,13,1,86.3,12,15,1.3,2,"20.3%",3,4,"75.0%",37,12.3,1,"33.3%",3,52,210.5,117.0,45,56,11
Kenyan Drake,LVR,2021,27,RB,12,2,63,254,2,15,147,2.3,107,2,4,16,40,30,291,1,12,32,1.1,259,8.6,1.8,5,6.0,0,0,0,103.2,12,63,5.3,2,"21.1%",4,6,"66.7%",25,6.3,0,"31.6%",2,88,106.4,102.5,54,34,-20
Samaje Perine,CIN,2021,26,RB,16,0,55,246,1,11,116,2.1,130,2,2,28,31,27,196,1,9,-2,-0.1,198,7.3,0.2,2,13.5,1,3,0,103.8,2,10,5.0,0,"4.3%",5,5,"100.0%",31,6.2,1,"35.7%",1,41,282.5,83.2,59,80,21
Miles Sanders,PHI,2021,24,RB,12,12,137,754,0,33,471,3.4,283,2,12,11,34,26,158,0,6,-69,-2.7,227,8.7,-0.5,6,4.3,1,3,0,85.2,21,31,1.5,0,"28.0%",3,3,"100.0%",9,3.0,0,"23.1%",0,40,38.2,117.2,44,20,-24
Jamaal Williams,DET,2021,26,RB,13,11,153,601,3,42,382,2.5,219,1,10,15,28,26,157,0,6,1,0.0,156,6.0,0.4,1,26.0,1,4,0,90.0,23,35,1.5,3,"47.9%",0,0,"0%",0,0.0,0,"0.0%",3,35,116.4,119.8,42,37,-5
Rex Burkhead,HOU,2021,31,RB,16,5,122,427,3,30,210,1.7,217,2,2,61,32,25,186,0,9,45,1.8,141,5.6,1.6,1,25.0,0,0,0,90.9,14,23,1.6,2,"50.0%",2,3,"66.7%",10,5.0,0,"30.0%",2,33,445.0,104.3,51,95,44
Jamycal Hasty,SFO,2021,25,RB,11,0,16,68,1,6,46,2.9,22,1,2,8,29,23,157,0,7,29,1.3,128,5.6,2.4,2,11.5,1,3,0,89.2,4,8,2.0,1,"10.8%",3,5,"60.0%",10,3.3,0,"33.3%",1,18,277.0,49.5,79,78,-1
Zack Moss,BUF,2021,24,RB,13,0,96,345,4,22,143,1.5,202,2,14,7,32,23,197,1,12,-3,-0.1,200,8.7,0.8,2,11.5,3,9,1,85.0,26,60,2.3,4,"40.0%",4,6,"66.7%",27,6.8,1,"40.0%",5,87,106.6,105.2,50,35,-15
