"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"129","Scottie Phillips (FA)","1","1","1.0","0","3.6%","0","0","0%","0","0","0","0.0%","0","3","0.1","0.0","0.0%"
"130","Darrynton Evans (BUF)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","0.1%"
"131","Brandin Bryant (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"132","Cam Akers (HOU)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","0.8%"
"133","Trenton Cannon (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","10","0.0","0.0","0.0%"
"134","Kalen Ballage (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","6.7%","0","9","0.0","0.0","0.0%"
"135","Avery Williams (ATL)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","15","0.0","0.0","0.1%"
"136","Keith Smith (FA)","1","0","0.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","13","0.0","0.0","0.0%"
"137","Trayveon Williams (CIN)","2","-1","-0.5","0","4.3%","0","0","0%","0","0","0","0.0%","0","4","-0.1","0.0","0.3%"
"138","Jake Funk (DET)","1","-1","-1.0","0","1.5%","0","0","0%","0","0","0","0.0%","0","5","-0.1","0.0","0.0%"
"139","Joshua Kelley (NYG)","5","13","2.6","0","6.4%","0","1","0.0%","0","0","0","4.8%","1","8","-0.7","-0.1","0.1%"
""
""
