"name","position","team","season","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_2pt_conversions","target_share","air_yards_share","fantasy_points_ppr","total_yards","games","offense_snaps","teams_offense_snaps","ypa","ypc","ypr","touches","rush_td_percentage","rec_td_percentage","total_tds","td_percentage","offense_pct","rush_ypg","rec_ypg","ppr_ppg","yps","ypg","years_played","ppr_fp_ps"
Andre Williams,RB,NYG,2015,88,257.0,1,0.0,0.0,11.0,1,1,3,7.0,0,0.0,0.0,6.0,3.0,0.0,0,0.0,0.0,35.4,264.0,16,157.0,1117.0,0.0,2.92,7.0,89,0.01,0.0,1,0.01,0.14,16.06,0.44,2.21,"1.68",16.5,2,"0.23"
Andre Williams,RB,LAC,2017,9,25.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.5,25.0,2,13.0,145.0,0.0,2.78,0.0,9,0.0,0.0,0,0.0,0.09,12.5,0.0,1.25,"1.92",12.5,4,"0.19"
Andrei Iosivas,WR,CIN,2023,0,0.0,0,0.0,0.0,0.0,0,15,25,116.0,4,0.0,0.0,215.0,35.0,11.0,0,0.08,0.13,50.6,116.0,9,208.0,576.0,0.0,0.0,7.73,15,0.0,0.27,4,0.27,0.36,0.0,12.89,5.62,"0.56",12.89,1,"0.24"
Andrew Hawkins,WR,CIN,2013,2,3.0,0,1.0,0.0,1.0,0,12,18,199.0,0,0.0,0.0,112.0,136.0,7.0,0,0.07,0.04,32.2,202.0,8,117.0,590.0,0.0,1.5,16.58,14,0.0,0.0,0,0.0,0.2,0.38,24.88,4.03,"1.73",25.25,3,"0.28"
Andrew Hawkins,WR,CLE,2016,2,0.0,0,0.0,0.0,0.0,0,33,54,324.0,3,0.0,0.0,430.0,128.0,20.0,0,0.1,0.09,83.4,324.0,16,647.0,1034.0,0.0,0.0,9.82,35,0.0,0.09,3,0.09,0.63,0.0,20.25,5.21,"0.5",20.25,6,"0.13"
Andrew Ogletree,TE,IND,2023,0,0.0,0,0.0,0.0,0.0,0,9,21,147.0,2,0.0,0.0,209.0,30.0,8.0,0,0.07,0.08,35.7,147.0,10,283.0,699.0,0.0,0.0,16.33,9,0.0,0.22,2,0.22,0.4,0.0,14.7,3.57,"0.52",14.7,2,"0.13"
Andrew Quarless,TE,GB,2013,0,0.0,0,0.0,0.0,0.0,0,32,53,312.0,2,0.0,0.0,331.0,137.0,18.0,0,0.12,0.11,75.2,312.0,13,624.0,937.0,0.0,0.0,9.75,32,0.0,0.06,2,0.06,0.67,0.0,24.0,5.78,"0.5",24.0,4,"0.12"
Andrew Quarless,TE,GB,2014,0,0.0,0,0.0,0.0,0.0,0,29,46,323.0,3,0.0,0.0,260.0,160.0,20.0,0,0.09,0.06,79.3,323.0,15,587.0,1007.0,0.0,0.0,11.14,29,0.0,0.1,3,0.1,0.58,0.0,21.53,5.29,"0.55",21.53,5,"0.14"
Andrew Quarless,TE,GB,2015,0,0.0,0,0.0,0.0,0.0,0,4,5,31.0,0,0.0,0.0,30.0,9.0,1.0,0,0.05,0.03,7.1,31.0,3,70.0,230.0,0.0,0.0,7.75,4,0.0,0.0,0,0.0,0.3,0.0,10.33,2.37,"0.44",10.33,6,"0.1"
Andrew Turzilli,WR,TEN,2015,0,0.0,0,0.0,0.0,0.0,0,2,2,25.0,0,0.0,0.0,21.0,4.0,1.0,0,0.05,0.05,4.5,25.0,1,10.0,63.0,0.0,0.0,12.5,2,0.0,0.0,0,0.0,0.16,0.0,25.0,4.5,"2.5",25.0,1,"0.45"
